STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,OPEN_DATE,CLOSE_DATE,geometry
FERNVALE LRT STATION,SW5,32784.2264,41533.2289,1.391885888,103.8762959,LRT,2004-01-01,2099-03-01,POINT (103.8762959 1.391885888000002)
JELAPANG LRT STATION,BP12,20341.7491,40960.202000000005,1.386703025,103.7645235,LRT,1998-11-01,2099-03-01,POINT (103.7645235 1.386703025000001)
KADALOOR LRT STATION,PE5,37255.4884,42384.6619,1.3995848530000001,103.9164619,LRT,2004-01-01,2099-03-01,POINT (103.9164619 1.399584853000002)
KANGKAR LRT STATION,SE4,35662.73,40658.9821,1.383978902,103.90215390000002,LRT,2002-01-01,2099-03-01,POINT (103.9021539 1.383978901999989)
KEAT HONG LRT STATION,BP3,18622.5727,40064.5711,1.378602766,103.74907990000001,LRT,1998-11-01,2099-03-01,POINT (103.7490799 1.378602766000001)
KUPANG LRT STATION,SW3,33334.8164,42232.8408,1.3982128280000001,103.881242,LRT,2014-06-01,2099-03-01,POINT (103.881242 1.398212827999998)
LAYAR LRT STATION,SW6,33198.3233,41554.6829,1.392079839,103.8800158,LRT,2004-01-01,2099-03-01,POINT (103.8800158 1.392079838999994)
MERIDIAN LRT STATION,PE2,36416.7925,42089.0886,1.396912053,103.9089277,LRT,2004-01-01,2099-03-01,POINT (103.9089277 1.396912053000005)
NIBONG LRT STATION,PW5,35455.6286,43743.0854,1.411870458,103.9002935,LRT,2013-06-01,2099-03-01,POINT (103.9002935 1.411870458)
OASIS LRT STATION,PE6,36837.1178,42683.4018,1.402286677,103.9127036,LRT,2006-06-01,2099-03-01,POINT (103.9127036 1.402286677000002)
PENDING LRT STATION,BP8,21094.7812,39792.4936,1.3761428830000002,103.77128809999999,LRT,1998-11-01,2099-03-01,POINT (103.7712881 1.376142882999997)
PETIR LRT STATION,BP7,20582.7273,39970.2513,1.3777503340000001,103.7666882,LRT,1998-11-01,2099-03-01,POINT (103.7666882 1.377750333999992)
PHOENIX LRT STATION,BP5,19621.7772,40066.3155,1.378618844,103.7580559,LRT,1998-11-01,2099-03-01,POINT (103.7580559 1.378618843999992)
PUNGGOL LRT STATION,PTC,35689.138999999996,43004.9202,1.4051947009999999,103.9023911,LRT,2004-01-01,2099-03-01,POINT (103.9023911 1.405194700999986)
PUNGGOL POINT LRT STATION,PW3,36160.8276,44293.5561,1.41684852,103.90662840000002,LRT,2015-12-01,2099-03-01,POINT (103.9066284 1.416848519999995)
RANGGUNG LRT STATION,SE5,35108.5942,40687.1255,1.3842335609999998,103.897176,LRT,2002-01-01,2099-03-01,POINT (103.897176 1.384233561)
RENJONG LRT STATION,SW8,34367.9437,40962.4782,1.3867239219999998,103.8905227,LRT,2004-01-01,2099-03-01,POINT (103.8905227 1.386723922000001)
RIVIERA LRT STATION,PE4,37219.8293,41825.1114,1.3945244959999998,103.91614150000001,LRT,2004-01-01,2099-03-01,POINT (103.9161415 1.394524495999994)
RUMBIA LRT STATION,SE2,36085.5526,41487.1568,1.391468497,103.9059522,LRT,2002-01-01,2099-03-01,POINT (103.9059522 1.391468496999986)
SAM KEE LRT STATION,PW1,35958.3967,43493.447,1.409612685,103.9048099,LRT,2015-02-01,2099-03-01,POINT (103.9048099 1.409612684999999)
SAMUDERA LRT STATION,PW4,35660.6597,44188.8482,1.415901719,103.9021353,LRT,2016-03-01,2099-03-01,POINT (103.9021353 1.415901718999988)
SEGAR LRT STATION,BP11,20908.767,41078.4025,1.387772131,103.76961709999999,LRT,1998-11-01,2099-03-01,POINT (103.7696171 1.387772130999987)
SENGKANG LRT STATION,STC,34913.5879,41502.6997,1.391609364,103.8954243,LRT,2002-01-01,2099-03-01,POINT (103.8954243 1.391609363999996)
SENJA LRT STATION,BP13,20104.0139,40516.7226,1.3826922959999999,103.76238790000001,LRT,1998-11-01,2099-03-01,POINT (103.7623879 1.382692295999994)
SOO TECK LRT STATION,PW7,35110.1988,42993.1699,1.405088585,103.89719040000001,LRT,2013-06-01,2099-03-01,POINT (103.8971904 1.405088585000001)
SOUTH VIEW LRT STATION,BP2,18203.7243,40252.0686,1.3802982869999998,103.7453173,LRT,1998-11-01,2099-03-01,POINT (103.7453173 1.380298286999991)
SUMANG LRT STATION,PW6,35260.2918,43365.1308,1.408452426,103.8985387,LRT,2013-06-01,2099-03-01,POINT (103.8985387 1.408452425999989)
TECK WHYE LRT STATION,BP4,19140.8,39852.4608,1.376684679,103.75373520000001,LRT,1998-11-01,2099-03-01,POINT (103.7537352 1.376684679)
TEN MILE JUNCTION LRT STATION,BP14,19856.1189,40254.525,1.3803210080000001,103.760161,LRT,1998-11-01,2018-01-01,POINT (103.760161 1.380321008000001)
THANGGAM LRT STATION,SW4,32709.2689,42133.9003,1.397318155,103.87562259999999,LRT,2004-01-01,2099-03-01,POINT (103.8756226 1.397318155000003)
TONGKANG LRT STATION,SW7,33845.4132,41252.6183,1.3893479530000001,103.8858287,LRT,2004-01-01,2099-03-01,POINT (103.8858287 1.389347952999991)
